,Message,Date,EventId,MatchedTemplate,ParsedValues
1915,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质B4.07.B4.-.-,BrandLS0龙源H,brandMS1华天基,brandLS1龙源H,brandMS2龙源H,brandLS2,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:50:58.494079,,,
1926,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=07/B4,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:51:15.013937,,,
1935,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=B4.02.B4.-.-,楞型=3B,门幅=2200;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:51:15.764721,,,
1939,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=02/B4,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:51:15.791279,,,
1941,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""LS1:其他接纸机MS1也快要到糊机了，本次实材处理任务终止"",""ExceptionInfo"":"" ""}",2026-06-22 00:51:15.825281,,,
1948,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=02/B4,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:51:15.959577,,,
1950,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""SF1糊间隙 即将往设备写值，但是因为该期间内又收到一个新的产生了一个新的任务，该任务终止"",""ExceptionInfo"":"" ""}",2026-06-22 00:51:15.964161,,,
1955,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=02/B4,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:51:16.055171,,,
1961,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""MS1已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:51:16.775200,,,
1983,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=02/B4,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:58:40.773481,,,
2006,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=B4.02.B4.-.-,楞型=3B,门幅=2200;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:59:14.989450,,,
2007,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""MS1已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:59:15.993816,,,
