Message,Date
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=73.88,GuRange1=0,GuRange2=0,GuRange3=14"",""ExceptionInfo"":""""}",2026-06-04 16:00:09.411709
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=72.14,GuRange1=0,GuRange2=0,GuRange3=15"",""ExceptionInfo"":""""}",2026-06-04 16:00:09.946676
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=8,下批门幅=2800,下批楞型=B,下批全材质=Q.8.1.7.R"",""ExceptionInfo"":""""}",2026-06-04 16:00:10.425997
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=72.14,GuRange1=0,GuRange2=0,GuRange3=16"",""ExceptionInfo"":""""}",2026-06-04 16:00:10.480337
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=70.4,GuRange1=0,GuRange2=0,GuRange3=17"",""ExceptionInfo"":""""}",2026-06-04 16:00:11.039931
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=68.66,GuRange1=0,GuRange2=0,GuRange3=18"",""ExceptionInfo"":""""}",2026-06-04 16:00:11.574532
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=8,下批门幅=2800,下批楞型=B,下批全材质=Q.8.1.7.R"",""ExceptionInfo"":""""}",2026-06-04 16:00:11.977458
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=66.92,GuRange1=0,GuRange2=0,GuRange3=19"",""ExceptionInfo"":""""}",2026-06-04 16:00:12.112152
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""InitInfos 初始化各部位数据完成:\r\nGU--材质=G.7.1.7.N，门幅=2800，楞型=5BA\r\nLS0--材质=G，门幅=2800，楞型=5BA，对应的订单材质=G.7.1.7.N\r\nMS1--材质=7，门幅=2800，楞型=B，对应的订单材质=G.7.1.7.N\r\nLS1--材质=1，门幅=2800，楞型=B，对应的订单材质=G.7.1.7.N\r\nMS2--材质=7，门幅=2800，楞型=A，对应的订单材质=G.7.1.7.N\r\nLS2--材质=N，门幅=2800，楞型=A，对应的订单材质=G.7.1.7.N\r\nMS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\nLS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\n"",""ExceptionInfo"":""""}",2026-06-04 16:01:11.096286
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-04 16:01:14.244847
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-04 16:01:16.056303
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\nLS0横切换材了。上笔材质=G，门幅=2800；本批材质=N，门幅=2800\r\nLS0材质校准：当前正在用的材质=G，门幅=2800，校准后的材质=N，门幅=2800\r\nLS2横切换材了。上笔材质=N，门幅=2800；本批材质=K，门幅=2800\r\nLS2材质校准:当前正在用的材质=N，门幅=2800，校准后的材质=K，门幅=2800\r\n立刻给各部位赋值\r\n"",""ExceptionInfo"":""""}",2026-06-04 16:01:16.130883
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-04 16:01:18.299591
